ean	record_status	qhr	bnc_peer_oh	bnc_peer_oo	bnc_peer_asp	bnc_peer_stores	bnc_all_asp	bs_sales_4week	bnc_peer_sales_4week	bnc_all_sales_4week	bnc_all_sales_total	sortby	timestamp
9780001837119	A	DEM	1	1	0.00	1	0.00	0	0	0	61	2	201304072316
9780002005807	A		2	0	0.00	2	0.00	0	0	0	1827	2	201304072316
9780002005838	A		0	34	0.00	7	0.00	0	0	0	0	34	201304072316
9780002006163	A		9	1	0.00	6	15.98	0	3	12	2630	13	201304072316
9780002006781	A		12	0	0.00	8	23.57	0	4	112	759	16	201304072316
9780002006972	A		5	1	17.95	3	17.95	1	4	10	5617	10	201304072316
9780002008075	A		1	0	0.00	1	0.00	0	0	0	1981	1	201304072316
9780002008860	A		3	0	0.00	2	21.09	0	0	34	29887	3	201304072316
9780002008921	A		2	0	0.00	2	0.00	1	1	6	6417	3	201304072316
9780002008945	A		1	0	0.00	1	0.00	0	0	0	877	1	201304072316
9780002255257	A		0	32	0.00	8	0.00	0	0	0	0	32	201304072316
9780002557207	A		4	0	0.00	2	0.00	0	0	1	1839	4	201304072316
9780006384847	A		1	0	0.00	1	0.00	0	0	0	2534	1	201304072316
9780006385004	A		1	0	0.00	1	0.00	0	0	0	471	1	201304072316
9780006385233	A		8	0	0.00	5	22.48	0	1	53	4037	9	201304072316
9780006385783	A		5	2	16.95	5	16.61	0	3	104	12699	10	201304072316
9780006391555	A		14	0	16.50	7	16.16	0	1	154	206813	15	201304072316
9780006391791	A		5	0	0.00	3	0.00	0	0	0	336	5	201304072316
9780006391999	A		1	0	0.00	1	0.00	0	0	0	101	1	201304072316
9780006392170	A		6	3	0.00	7	0.00	0	0	1	3489	9	201304072316
9780006392217	A		3	0	0.00	2	0.00	0	0	0	134	3	201304072316
9780006392613	A		2	0	0.00	2	19.51	0	0	9	11856	2	201304072316
9780006392781	A		2	0	0.00	1	0.00	0	0	0	1649	2	201304072316
9780006392927	A		2	0	0.00	2	10.47	0	0	11	3091	2	201304072316
9780006393009	A		35	0	0.00	2	7.99	0	0	6	3255	35	201304072316
9780006393023	A		3	0	0.00	3	8.62	1	1	19	15491	4	201304072316
9780006393078	A		1	0	0.00	1	0.00	0	0	0	508	1	201304072316
9780006393092	A		13	0	0.00	8	19.21	0	1	66	24310	14	201304072316
9780006393221	A		9	0	0.00	5	0.00	0	0	0	5104	9	201304072316
9780006393290	A		1	0	0.00	1	0.00	1	1	1	232	2	201304072316
9780006393535	A		12	0	17.99	8	19.63	0	2	19	369	14	201304072316
9780006393740	A		11	0	0.00	6	0.00	0	0	0	2153	11	201304072316
9780006393832	A		5	2	17.05	5	17.56	0	2	50	17218	9	201304072316
9780006393900	A		1	0	0.00	1	0.00	0	0	0	165	1	201304072316
